image,day,platform_id,node_name,tag_id,predicted_distance_m,predicted_side_px,u_min,u_max,v_min,v_max,corners_in_frame,fully_in_frame,detected
day2_20260821/logs/20260821_164323/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.311936,275.512639,-148.387118,160.61919,191.490306,508.67642,1,no,no
day2_20260821/logs/20260821_164326/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-c,junction_e1,3,6.60013,13.021305,17.003643,32.695194,233.445053,247.977056,4,yes,no
day2_20260821/logs/20260821_164941/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,4,8.76619,9.803839,470.017076,480.57853,231.595536,241.864809,4,yes,no
day2_20260821/logs/20260821_164941/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.193563,444.000996,-304.028342,171.254121,163.720296,734.505593,1,no,no
day2_20260821/logs/20260821_164945/mission_1_plant_4/start.jpg,day2_20260821,xplorer-c,plant_4,3,6.377237,13.476416,25.823011,41.83757,233.605903,248.561672,4,yes,no
day2_20260821/logs/20260821_165317/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,4,8.928076,9.626073,481.300105,491.80439,231.525932,241.663139,4,yes,no
day2_20260821/logs/20260821_165317/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.264813,324.539483,-239.510378,129.384047,181.886068,575.212256,1,no,yes
day2_20260821/logs/20260821_165320/mission_1_plant_5/start.jpg,day2_20260821,xplorer-c,plant_5,3,6.408428,13.410825,181.546994,195.155934,234.629175,248.402239,4,yes,yes
day2_20260821/logs/20260821_170007/mission_1_cb202/start.jpg,day2_20260821,xplorer-b,cb202,3,2.582466,33.279164,145.161079,580.93563,198.400407,224.063245,4,yes,no
day2_20260821/logs/20260821_170007/mission_1_cb202/finish.jpg,day2_20260821,xplorer-b,cb202,1,4.327377,19.86014,216.953131,363.946281,205.85518,211.756785,4,yes,no
day2_20260821/logs/20260821_170226/mission_1_cb202/start.jpg,day2_20260821,xplorer-c,cb202,3,2.796499,30.73211,-366.834039,307.99604,162.30014,208.032838,2,no,no
day2_20260821/logs/20260821_172025/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,2.037389,42.18257,169.085854,584.944499,187.68013,218.063421,4,yes,no
day2_20260821/logs/20260821_172417/mission_1_radiator/finish.jpg,day2_20260821,xplorer-c,radiator,1,2.004418,42.87645,288.240757,718.932021,169.495161,208.609296,2,no,no
day2_20260821/logs/20260821_173514/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,2.003856,42.888459,516.961926,1136.532447,147.767545,207.223583,2,no,no
day2_20260821/logs/20260821_173618/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,3,2.686968,31.984868,-13.869086,510.108134,189.918562,219.302801,2,no,no
day2_20260821/logs/20260821_173717/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,1.929093,44.55064,363.085935,917.842778,161.74735,207.832377,2,no,no
