min_frequency,consistency_threshold,promoted_count,promoted_candidates
3,0.23,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.24,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.25,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.26,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.27,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.28,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.29,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.30,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.31,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.32,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.33,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.34,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.35,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.36,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.37,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.38,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.39,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.40,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.41,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.42,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.43,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.44,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.45,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.46,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.47,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.48,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.49,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.50,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
3,0.51,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.52,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.53,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.54,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.55,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.56,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.57,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.58,2,"[""quiet_corner"", ""wet_gloves""]"
3,0.59,2,"[""quiet_corner"", ""wet_gloves""]"
